config;cqs;cqs-with-data;stmt-avg
filter\_orderby;11;0;0
filter\_orderby;2;2;3
filter\_orderby;11;0;0
filter\_orderby;2;1;4
filter\_orderby;4;4;3
filter\_orderby;4;3;4
filter\_regex;4;4;4
filter\_regex;2;0;0
filter\_regex;2;2;3
filter\_regex;11;0;0
filter\_regex;2;0;0
filter\_regex;11;0;0
union\_filter;11;2;3
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;10;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_orderby;11;0;0
union\_orderby;11;0;0
union\_distinct;11;0;0
union\_distinct;11;2;3
union\_distinct;10;0;0
union\_distinct;11;0;0
union\_distinct;11;0;0
union\_distinct;11;0;0
union\_distinct;11;3;8
union\_distinct;11;0;0
union\_distinct;4;0;0
optional\_regex;11;0;0
optional\_regex;11;0;0
optional\_limit;11;0;0
optional\_limit;9;6;1
optional\_limit;11;0;0
union\_regex;11;0;0
filter\_optional;9;6;1
filter\_optional;11;0;0
filter\_optional;9;6;1
filter\_optional;10;0;0
filter\_optional;11;0;0
filter\_optional;11;2;3
filter\_optional;4;0;0
filter\_optional;3;0;0
filter\_optional;4;0;0
filter\_optional;8;3;3
