config;cqs;cqs-with-data;stmt-avg
filter;2;2;192
filter;11;2;826
filter;11;0;0
filter;3;0;0
filter;2;0;0
filter;4;4;31
filter;11;0;0
filter;2;2;761
filter;2;0;0
filter;4;3;167
minus;2;1;71
regex;4;3;469
regex;2;0;0
regex;2;2;412
regex;11;0;0
regex;2;0;0
regex;11;0;0
offset;11;0;0
limit;9;6;107
limit;4;4;40
limit;1;1;7430
limit;11;0;0
limit;11;0;0
limit;2;0;0
limit;1;1;561
limit;11;0;0
limit;1;0;0
limit;4;4;45
orderby;4;4;45
orderby;11;0;0
orderby;2;2;412
orderby;2;2;10
orderby;11;0;0
orderby;11;0;0
orderby;1;1;62
orderby;2;1;2630
orderby;4;4;45
orderby;4;3;167
distinct;11;2;826
distinct;11;3;29
distinct;2;0;0
distinct;11;0;0
distinct;1;1;1288
distinct;4;4;31
distinct;4;0;0
distinct;1;1;18
distinct;2;2;761
distinct;2;0;0
optional;9;6;69
optional;3;2;662
optional;10;0;0
optional;2;1;4
optional;4;0;0
optional;4;0;0
optional;3;0;0
optional;2;1;5
optional;4;0;0
optional;8;1;80
union;4;2;650
union;11;2;826
union;11;0;0
union;11;0;0
union;10;0;0
union;11;3;33
union;11;0;0
union;11;0;0
union;11;0;0
union;8;0;0
