config;cqs;cqs-with-data;stmt-avg
filter\_orderby;2;2;254
filter\_orderby;2;0;0
filter\_regex;2;0;0
filter\_regex;2;0;0
filter\_regex;4;0;0
filter\_regex;6;0;0
filter\_regex;4;0;0
filter\_regex;4;0;0
filter\_regex;2;0;0
filter\_regex;2;0;0
filter\_regex;2;0;0
filter\_regex;2;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_filter;8;0;0
union\_filter;11;0;0
union\_filter;11;0;0
union\_distinct;11;0;0
union\_distinct;8;0;0
union\_distinct;11;0;0
union\_distinct;8;0;0
union\_distinct;11;0;0
union\_distinct;11;0;0
union\_distinct;11;0;0
union\_distinct;11;0;0
union\_distinct;11;0;0
union\_distinct;11;0;0
optional\_regex;6;0;0
optional\_regex;6;0;0
optional\_regex;11;0;0
optional\_regex;6;0;0
optional\_limit;11;0;0
optional\_limit;8;0;0
optional\_limit;3;0;0
optional\_limit;8;0;0
optional\_limit;11;0;0
optional\_limit;11;0;0
optional\_limit;11;0;0
optional\_limit;11;0;0
optional\_limit;11;0;0
optional\_limit;2;0;0
