config;cqs;cqs-with-data;stmt-avg
filter;2;0;0
filter;2;0;0
filter;3;0;0
filter;11;3;8
filter;2;0;0
filter;2;0;0
filter;2;0;0
filter;11;2;9
filter;2;0;0
filter;2;0;0
regex;2;0;0
regex;2;0;0
regex;4;0;0
regex;6;0;0
regex;4;0;0
regex;4;0;0
regex;2;0;0
regex;2;0;0
regex;2;2;6
regex;2;0;0
offset;11;3;9
offset;3;0;0
offset;11;7;10
offset;1;0;0
offset;11;1;12
offset;11;3;8
offset;11;2;9
offset;8;3;9
offset;11;2;7
offset;2;0;0
limit;11;3;9
limit;1;0;0
limit;3;0;0
limit;1;0;0
limit;11;1;12
limit;11;3;8
limit;11;2;9
limit;8;3;9
limit;11;2;7
limit;2;0;0
orderby;1;0;0
orderby;1;0;0
orderby;2;0;0
orderby;1;0;0
orderby;2;0;0
distinct;11;3;9
distinct;8;2;10
distinct;3;0;0
distinct;8;1;9
distinct;11;1;12
distinct;11;3;8
distinct;11;2;9
distinct;11;2;7
distinct;2;0;0
distinct;2;0;0
optional;11;3;9
optional;8;2;10
optional;3;0;0
optional;8;1;9
optional;11;7;10
optional;11;1;12
optional;11;3;8
optional;11;2;9
optional;11;2;7
optional;2;0;0
union;11;3;9
union;8;1;9
union;11;7;10
union;11;1;12
union;11;3;8
union;4;0;0
union;11;2;9
union;8;3;9
union;11;0;0
union;11;2;7
