qid;qtriples;cqs;cqs-with-data;triples;features
DBpedia-q100951;4;9;6;11;FILTER,OPTIONAL
DBpedia-q1099;3;11;0;0;FILTER,UNION
DBpedia-q119324;4;11;0;0;FILTER,LIMIT,ORDER\_BY,UNION
DBpedia-q14403;3;2;2;5;FILTER,LIMIT,ORDER\_BY
DBpedia-q187296;3;2;0;0;FILTER
DBpedia-q19339;3;3;0;0;FILTER,OPTIONAL
DBpedia-q194196;3;3;2;5;FILTER,OPTIONAL
DBpedia-q201755;4;11;0;0;FILTER,LIMIT,ORDER\_BY,UNION
DBpedia-q207390;3;2;0;0;FILTER,LIMIT
DBpedia-q246086;3;2;2;6;FILTER,ORDER\_BY
DBpedia-q277766;4;2;2;8;FILTER
DBpedia-q3031;3;3;3;8;FILTER,OPTIONAL
DBpedia-q59088;3;2;0;0;FILTER
DBpedia-q83335;4;11;2;6;FILTER,UNION
DBpedia-q8971;3;2;2;6;FILTER
