config;cqs;cqs-with-data;stmt-avg
minus;2;2;8
orderby;4;2;6
orderby;1;1;6
orderby;4;3;4
orderby;1;1;5
orderby;2;2;5
orderby;2;2;5
orderby;2;2;5
orderby;1;1;5
orderby;2;1;4
orderby;4;3;4
distinct;11;2;7
distinct;11;3;15
distinct;2;0;0
distinct;11;0;0
distinct;1;1;7
distinct;4;4;3
distinct;2;2;4
distinct;1;1;6
distinct;2;2;4
distinct;2;2;6
optional;11;6;3
optional;11;6;2
optional;8;2;5
optional;4;3;4
optional;2;1;4
optional;11;2;3
optional;4;2;3
optional;2;1;5
optional;11;1;5
optional;8;3;5
union;4;2;6
union;11;0;0
union;11;2;7
union;11;0;0
union;11;0;0
union;11;5;0
union;11;3;15
union;11;0;0
union;4;3;5
union;4;1;4
filter;11;6;3
filter;2;2;6
filter;11;2;7
filter;4;3;4
filter;2;2;4
filter;11;0;0
filter;2;2;5
filter;2;0;0
filter;2;2;4
filter;2;1;4
regex;2;2;5
limit;4;4;3
limit;11;0;0
limit;11;6;2
limit;4;4;5
limit;2;2;7
limit;11;0;0
limit;2;2;6
limit;2;0;0
limit;1;1;6
limit;4;4;5
